episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
160,24,24,0.0,0.0026053210409979024,14.157538811365763,,,,,,,,,,,,0.02547104637293766,0.2236979172254602,0.3457340362171332,0.3158208678166072,0.32581471527616185,0.08576958985908939
162,24,24,0.0,-0.014330544935849806,23.221197764078777,,,,,,,,,,,,0.019760162036012236,0.19869791716337204,0.3462212545176347,0.316508727769057,0.2386491745710373,0.08317637711026711
164,24,24,0.0,-0.00368841749150306,12.324565132459005,,,,,,,,,,,,0.016179505871453632,0.17978515662252903,0.34661635259787243,0.3170703699191411,0.2964588577548663,0.08066156921766134
166,24,24,0.0,-0.004154545196797699,22.417566378911335,,,,,,,,,,,,0.0189258969136669,0.19964192745586237,0.34699584171175957,0.31760868305961293,0.37652692571282387,0.0782227956386003
168,24,24,0.0,-0.0035335077360893288,15.549444635709127,,,,,,,,,,,,0.02362391438994867,0.22604166623204947,0.3476328489681085,0.3185080165664355,0.2827928041418393,0.0758577575029184
170,24,24,0.0,-0.009138186336106932,12.590565085411072,,,,,,,,,,,,0.021032755971342947,0.2441406256208817,0.34846166024605435,0.3196790739893913,0.25889345072209835,0.0735642254459641
172,12,24,0.0,0.008287443468968073,9.892240524291992,,,,,,,,,,,,0.027541938063222915,0.25208333507180214,0.3493446211020152,0.3209269295136134,0.23486259952187538,0.0713400375071256
174,18,24,0.0,-0.002674347721040249,14.881038400861952,,,,,,,,,,,,0.024830333513414696,0.23628472267753547,0.34962111049228245,0.32131488290097976,0.20830165015326607,0.06918309709189364
176,6,24,0.0,0.02417955392350753,11.519062836964926,,,,,,,,,,,,0.04741609562188387,0.3752604176600774,0.349674051006635,0.3213886171579361,0.1752745881676674,0.06709137099554112
178,24,24,0.0,-0.003808100513803462,10.175925215085348,,,,,,,,,,,,0.01880100571239988,0.21370442770421505,0.3498770669102669,0.3216742016375065,0.26770436577498913,0.06506288748655574
180,12,24,0.0,0.0057945773005485535,11.754222869873047,,,,,,,,,,,,0.018872773163214635,0.18671875074505806,0.35026505092779797,0.32222158710161847,0.25474246218800545,0.06309573444801932
