episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,min_battery
63,720,3.013195140077773,-56.80716679347436,24.587253594368768,-60.169578614114165,14.992743742715552,,20.275633822995587,20.133145862011588,0.6429172270436538,19.490228634967934,0.0,42.263437139049124,24.78318871824666,3.013195140077773
64,720,4.365616478142118,-59.74821983974782,24.061274004217964,-61.262771419929095,15.736889765003868,-0.8955845236778259,19.86809639900457,19.43150118800986,0.6407326250046026,18.79076856300526,0.2955783329962287,42.26354550459923,24.604602692936584,4.365616478142118
65,720,3.055153396500312,-54.201575663302535,25.019618306795852,-56.77351491937344,15.73365849531613,,19.721684076997917,19.560929024999496,0.6408949329488678,18.920034092050628,0.0,42.26355918129789,24.861421234459314,3.055153396500312
66,720,9.774175738673978,-57.81568005245713,24.207065874108572,-59.68068578894403,15.790319633567742,-0.95677649974823,19.79609373101266,19.361608917999547,0.6405779352498939,18.721030982749653,0.2937961749994429,42.26335525566233,24.765756716695464,9.774175738673978
67,715,0.0,-74.28747049019947,23.244247279841364,-75.7273174451405,15.379718792150017,,20.035436483987723,19.872880052003893,0.639028431774932,19.23385162022896,0.0,42.262826751188186,23.56630686051507,0.0
68,720,8.68281029145399,-57.014157001462216,24.485398562199027,-59.2719272244675,15.5468242044424,-0.8584766387939453,19.868154983996646,19.426581395993708,0.6426184775482398,18.783962918445468,0.2957780470023863,42.2624770661224,24.7822823541,8.68281029145399
69,706,0.0,-60.8971661038087,24.11330971932251,-63.269573828702136,15.241001345481271,,18.857112678000703,18.71009856001183,0.6297316999844043,18.080366860027425,0.0,42.263542612702174,24.294528088665643,0.0
70,720,7.462610538295143,-59.400643398525204,24.162132923619303,-61.59080592196297,15.530498822797824,-0.9494915008544922,23.145856799994363,22.706805066001834,0.6418777662474895,22.064927299754345,0.29505573700589593,42.2634712806868,24.628083852050633,7.462610538295143
71,713,0.0,-63.04666009883882,23.88243564341576,-65.55788778428126,14.938558598531028,,20.25274267999339,20.097855095009436,0.6369413269858342,19.4609137680236,0.0,42.263191156349656,24.244939140856555,0.0
72,720,0.7341257442994127,-74.69561981204404,23.63526390727482,-76.24244470185765,15.271885921525293,-0.8968859314918518,20.225235747013357,19.775719591998495,0.6421563347248593,19.133563257273636,0.297800031999941,42.26164601500428,23.67231653583842,0.7341257442994127
73,720,10.463107849489592,-42.74918422735485,25.21557906233811,-46.08890259063081,15.278575010662033,,19.0333482149872,18.883695341006387,0.6419889509561472,18.24170639005024,0.0,42.2599994905658,25.691561514519336,10.463107849489592
74,720,1.9649044123987431,-58.50407633977372,24.39492873333898,-61.09505009140815,14.7298485312657,-0.8659725189208984,20.70067919199937,20.240221237996593,0.6409163591306424,19.59930487886595,0.2977612760005286,42.2633040291559,24.6303575939125,1.9649044123987431
75,720,1.3655411223915135,-72.1004909129461,23.92914155140514,-74.8155765223069,14.342794821761766,,20.656869276004727,20.50577891699504,0.6409572839183966,19.864821633076645,0.0,42.263499520761066,23.798097811052166,1.3655411223915135
76,720,7.570983175492965,-54.39072622447114,24.854296509137775,-58.58140433300835,14.185823617142914,-0.9772864580154419,20.182193578992155,19.73796972600394,0.6401851769624045,19.097784549041535,0.293982054994558,42.263421365888945,25.0400473222559,7.570983175492965
77,720,6.358452360779969,-56.788154459233134,24.698236571739585,-60.775484569969564,14.152164930851182,,19.19095561299764,19.036462415999267,0.6408733460120857,18.39558906998718,0.0,42.26250336964619,24.797117025227692,6.358452360779969
78,720,3.5357579093437312,-63.92966198226294,24.411069966127172,-67.97743328739712,13.98545422887583,-0.9820154309272766,19.929308703998686,19.489995796000585,0.6413757870177506,18.848620008982834,0.2963567749975482,42.262835206949745,24.45373263672085,3.5357579093437312
79,695,0.0,-58.390178049142285,23.31743781071418,-61.11982278467185,14.266675554504248,,18.189493971993215,18.045597431002534,0.6194973170495359,17.426100113952998,0.0,42.25930316589968,24.453942177612003,0.0
