step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,directional_reward,battery_reward,movement_penalty,action_dx_norm,action_dy_norm
79,155.7023836530851,348.36802025021,142.3184896864103,351.00602765263005,157.41839819765062,353.4494057497468,25.76948033194892,25.750611943236017,-0.018868388712903084,0.23987672149104663,0.2975514162004431,-0.03773677742580617,0.019937917283590328,-0.6691946983337402,0.1319003701210022
80,157.41839819765062,353.4494057497468,143.07116728639573,352.2224716743913,155.0479967983253,355.42497621235265,25.750611943236017,25.63754436839182,-0.11306757484419805,0.07055585205680674,0.30709019429340834,-0.2261351496883961,0.0103991925482055,-0.717361569404602,-0.06134670600295067
81,155.0479967983253,355.42497621235265,142.25085286216807,355.19759131726636,153.26121004304161,356.15504648531174,25.63754436839182,25.598397425477643,-0.03914694291417575,0.21844755152003897,0.3026995306684477,-0.0782938858283515,0.005958093320057213,-0.6398571729660034,-0.011369245126843452
82,153.26121004304161,356.15504648531174,149.53415806969872,367.8344288095305,152.17964590902437,366.9462593283344,25.598397425477643,25.416169514061277,-0.18222791141636563,-0.27730489909631917,0.1114267119514321,-0.36445582283273126,0.02427578821502003,-0.18635259568691254,0.5839691162109375
83,152.17964590902437,366.9462593283344,147.89356697912325,380.2284973349262,151.33599412835437,380.7338411625333,25.416169514061277,25.39425870648776,-0.02191080757351571,0.13507093879094023,0.2293291186862248,-0.04382161514703142,0.05043656474825314,-0.21430395543575287,0.6641119122505188
84,151.33599412835437,380.7338411625333,146.34253061211902,394.2455265339322,150.5960115254091,394.67382489083036,25.39425870648776,25.252273495618578,-0.14198521086918348,-0.15917822887688785,0.16549595200983017,-0.28397042173836695,0.04070375914835105,-0.24967318773269653,0.6755842566490173
85,150.5960115254091,394.67382489083036,141.22836912276017,405.5832792365335,152.953895988813,405.158748217812,25.252273495618578,25.252819553743283,0.0005460581247049845,0.22321176067643755,0.26438599877030383,0.001092116249409969,0.04226635434327626,-0.4683821201324463,0.5454727411270142
86,152.953895988813,405.158748217812,141.57535785709914,413.61785752414744,150.7495360181796,413.39861015051804,25.252819553743283,25.24999468955862,-0.0028248641846637668,0.23345346489164415,0.2720067288790558,-0.0056497283693275335,0.03290353561808412,-0.5689269304275513,0.4229554533958435
87,150.7495360181796,413.39861015051804,139.44825885753508,416.5706022140404,149.0775879633049,417.40075793777976,25.24999468955862,25.21035015943364,-0.039644530124977706,0.22615436018404345,0.32169145517536224,-0.07928906024995541,0.016248034741363382,-0.5650638341903687,0.1585996001958847
88,149.0775879633049,417.40075793777976,136.0343989145378,418.7716812184957,150.81108571943764,416.41399851912405,25.21035015943364,25.201554007240734,-0.008796152192907414,0.382306217049988,0.40753568905260407,-0.017592304385814828,0.0076371676168011954,-0.6521594524383545,0.06854616105556488
89,150.81108571943764,416.41399851912405,138.42728139814858,421.9732646095171,152.02164977739233,422.00976590350365,25.201554007240734,25.124210421006655,-0.077343586234079,0.0897805422802515,0.26430423474360365,-0.154687172468158,0.01983651999519416,-0.6191902160644531,0.2779633104801178
90,152.02164977739233,422.00976590350365,140.20385116289037,430.58686188891625,153.60042182489087,428.54787578287545,25.124210421006655,25.121290048951845,-0.0029203720548096612,0.243952100473374,0.27463914470928313,-0.0058407441096193224,0.0248463001262898,-0.5908899307250977,0.4288547933101654
91,153.60042182489087,428.54787578287545,141.61507026239087,435.03941049280587,152.5992618217722,433.4059753467881,25.121290048951845,25.11510995197628,-0.006180096975565874,0.2676092644243952,0.2980999125241391,-0.012360193951131748,0.01813045414861212,-0.5992676019668579,0.324576735496521
92,152.5992618217722,433.4059753467881,147.47447067644748,445.5348386814439,156.506629810373,445.27812760908046,25.11510995197628,25.01285335933272,-0.10225659264355969,-0.07129579867556701,0.1699251135435702,-0.20451318528711937,0.03670772693201785,-0.25623956322669983,0.6064431667327881
93,156.506629810373,445.27812760908046,150.1123131370942,444.7273642404739,153.53133163983782,444.71682799041264,25.01285335933272,24.939994216630446,-0.07285914270227423,0.07689362223978144,0.2310100144631389,-0.14571828540454845,0.008398106818809004,-0.31971582770347595,-0.02753816731274128
94,153.53133163983782,444.71682799041264,145.59513292844255,454.4628492611646,158.46896343122208,452.67673979829084,24.939994216630446,24.87524772487965,-0.06474649175079605,0.02922787353441797,0.1869252766917061,-0.1294929835015921,0.028204419655696034,-0.3968099355697632,0.4873010814189911
95,158.46896343122208,452.67673979829084,150.31505470166886,461.3662015063597,159.2507263774242,460.95079162414197,24.87524772487965,24.776824723798377,-0.09842300108127233,-0.05079001658826747,0.1690215691084878,-0.19684600216254466,0.022965583534210618,-0.4076954424381256,0.43447306752204895
96,159.2507263774242,460.95079162414197,157.96368399804493,472.9463818341029,161.21716072715347,472.5297664157376,24.776824723798377,24.660230031149684,-0.11659469264869315,-0.0994740164594138,0.16767729091231068,-0.2331893852973863,0.033961922074338166,-0.0643521174788475,0.599779486656189
97,161.21716072715347,472.5297664157376,166.7105059877736,485.8851026050076,166.3055963195532,485.07891402929397,24.660230031149684,24.46748222526822,-0.19274780588146356,-0.2830748117262535,0.13742101641766297,-0.3854956117629271,0.03500021638098934,0.27466726303100586,0.667766809463501
98,166.3055963195532,485.07891402929397,160.43452736508542,498.0530541965303,167.02763102462407,496.3497031517232,24.46748222526822,24.480557485260235,0.01307525999201431,0.24678107578527755,0.26551448709115505,0.02615051998402862,0.04488393128990612,-0.2935534417629242,0.6487070322036743
99,167.02763102462407,496.3497031517232,161.60996458938237,507.0010360069478,172.0396239006303,502.9199377644834,24.480557485260235,24.416808790065083,-0.06374869519515158,0.05203808223153421,0.205486725784782,-0.12749739039030317,0.025951253162944624,-0.27088332176208496,0.5325666666030884
100,172.0396239006303,502.9199377644834,174.8378893577836,495.5381847966489,175.28454661762137,494.62674794874977,24.416808790065083,24.370239412540236,-0.0465693775248468,0.10222710221511686,0.22561745626890448,-0.0931387550496936,0.03025159900409402,0.13991327583789825,-0.3690876364707947
101,175.28454661762137,494.62674794874977,161.72760081684012,496.14111612521003,167.99245325457292,495.9494643310625,24.370239412540236,24.382363549696194,0.012124137155957726,0.2888558425131648,0.2940262970518618,0.024248274311915452,0.029418728850612415,-0.6778472661972046,0.07571841031312943
102,167.99245325457292,495.9494643310625,161.95092884432512,507.8565192321855,170.28165992715637,502.7499798530536,24.382363549696194,24.25239601707159,-0.1299675326246046,-0.08019068787788976,0.20137451588922745,-0.2599350652492092,0.02163013851790803,-0.30207622051239014,0.5953527688980103
